,word
0,e
1,non
2,che
3,di
4,la
5,il
6,un
7,a
8,per
9,Ã¨
10,in
11,una
12,mi
13,sono
14,ho
15,l'
16,si
17,ha
18,ma
19,lo
20,cosa
21,con
22,no
23,le
24,ti
25,se
26,da
27,i
28,come
29,io
30,ci
31,hai
32,questo
33,bene
34,qui
35,sei
36,del
37,tu
38,solo
39,mio
40,al
41,me
42,tutto
43,c'
44,te
45,era
46,della
47,mia
48,fatto
49,fare
50,essere
51,so
52,quando
53,sÃ¬
54,ora
55,lei
56,gli
57,ne
58,oh
59,questa
60,detto
61,ok
62,va
63,perche
64,quello
65,mai
66,alla
67,o
68,anche
69,stato
70,abbiamo
71,tutti
72,dei
73,grazie
74,chi
75,sta
76,molto
77,piÃ¹
78,voglio
79,perchÃ©
80,tuo
81,beh
82,sia
83,nel
84,lui
85,allora
86,posso
87,piu
88,ehi
89,prima
90,tua
91,suo
92,niente
93,qualcosa
94,sai
95,siamo
96,un'
97,cosi
98,davvero
99,ancora
100,hanno
101,stai
102,fa
103,sua
104,cosÃ¬
105,casa
106,uno
107,dove
108,su
109,vero
110,vuoi
111,noi
112,due
113,quindi
114,dire
115,d'
116,delle
117,quella
118,sempre
119,altro
120,sto
121,andare
122,ad
123,po
124,loro
125,devo
126,quel
127,forse
128,li
129,proprio
130,certo
131,tempo
132,nella
133,poi
134,vi
135,credo
136,vita
137,cose
138,sul
139,quanto
140,puoi
141,fuori
142,anni
143,cui
144,andiamo
145,dell'
146,parte
147,visto
148,qualcuno
149,all'
150,lavoro
151,voi
152,ciao
153,dio
154,volta
155,dopo
156,adesso
157,stata
158,uomo
159,padre
160,devi
161,bisogno
162,gia
163,amico
164,ed
165,posto
166,nessuno
167,via
168,cos'
169,fai
170,signore
171,meglio
172,cazzo
173,dai
174,dal
175,vuole
176,sembra
177,giorno
178,ogni
179,modo
180,senza
181,vedere
182,dobbiamo
183,signor
184,qualche
185,dispiace
186,penso
187,ecco
188,parlare
189,tra
190,mamma
191,giÃ
192,sarebbe
193,dalla
194,troppo
195,fosse
196,possiamo
197,ce
198,nuovo
199,male
200,madre
201,avete
202,tanto
203,favore
204,successo
205,vai
206,sulla
207,giusto
208,sa
209,miei
210,aspetta
211,avere
212,altra
213,farlo
214,alle
215,facendo
216,abbia
217,momento
218,ero
219,aveva
220,ragazzi
221,deve
222,persone
223,nostro
224,tipo
225,prego
226,grande
227,puÃ²
228,senti
229,appena
230,potrebbe
231,soldi
232,dice
233,sapere
234,tre
235,oggi
236,questi
237,piace
238,idea
239,siete
240,ai
241,avevo
242,figlio
243,accordo
244,gente
245,sicuro
246,vieni
247,degli
248,guarda
249,dentro
250,trovato
251,queste
252,caso
253,forza
254,dov'
255,tutte
256,pensi
257,signora
258,faccio
259,nome
260,avuto
261,problema
262,altri
263,puo
264,aver
265,mondo
266,tutta
267,preso
268,nulla
269,nostra
270,donna
271,stare
272,basta
273,insieme
274,faccia
275,ragazza
276,subito
277,famiglia
278,ragazzo
279,volevo
280,okay
281,sentito
282,ah
283,stesso
284,ragione
285,sarÃ
286,tuoi
287,capito
288,notte
289,volte
290,testa
291,serve
292,tesoro
293,sotto
294,eh
295,suoi
296,vado
297,sara
298,dato
299,stiamo
300,bella
301,scusa
302,erano
303,pensavo
304,avrei
305,prendere
306,buona
307,porta
308,bello
309,moglie
310,vorrei
311,storia
312,succede
313,morto
314,cercando
315,dici
316,persona
317,pronto
318,meno
319,dovuto
320,avanti
321,capisco
322,secondo
323,venire
324,polizia
325,lÃ¬
326,avrebbe
327,stanno
328,mentre
329,letto
330,fino
331,dico
332,amici
333,fine
334,aiuto
335,paura
336,fratello
337,stavo
338,uomini
339,nell'
340,domani
341,facciamo
342,abbastanza
343,capo
344,amore
345,nei
346,ucciso
347,state
348,piano
349,macchina
350,trovare
351,comunque
352,vediamo
353,giorni
354,nemmeno
355,mano
356,dall'
357,presto
358,stati
359,merda
360,far
361,bambino
362,andato
363,vedo
364,tornare
365,quelle
366,cio
367,primo
368,vostro
369,neanche
370,sera
371,giro
372,morte
373,e'
374,qua
375,pensato
376,buon
377,anno
378,mie
379,diavolo
380,quasi
381,piacere
382,bel
383,dovrei
384,nessun
385,contro
386,stessa
387,felice
388,colpa
389,punto
390,andata
391,dovrebbe
392,vedi
393,quale
394,chiesto
395,invece
396,perchÃ¨
397,migliore
398,nostri
399,finito
400,figlia
401,dovresti
402,papa
403,almeno
404,sento
405,quei
406,col
407,ore
408,passato
409,magari
410,minuti
411,terra
412,vostra
413,strada
414,sola
415,credi
416,importante
417,sue
418,salve
419,settimana
420,perso
421,uscire
422,parlato
423,papÃ
424,stasera
425,scusi
426,dollari
427,occhi
428,mani
429,ultima
430,possibile
431,scuola
432,significa
433,sapevo
434,nelle
435,potrei
436,stava
437,bambini
438,eri
439,importa
440,indietro
441,riesco
442,sangue
443,chiama
444,messo
445,piccolo
446,traduzione
447,tardi
448,cuore
449,marito
450,viene
451,venuto
452,ieri
453,spero
454,ricordi
455,quelli
456,dovremmo
457,lasciato
458,ascolta
459,difficile
460,quell'
461,auto
462,chiamato
463,ciÃ²
464,altre
465,parlando
466,pensare
467,fantastico
468,fatta
469,numero
470,veramente
471,fanno
472,com'
473,serio
474,possa
475,fossi
476,entrare
477,anch'
478,qualsiasi
479,pensa
480,dicendo
481,acqua
482,portato
483,stanza
484,problemi
485,forte
486,nessuna
487,lascia
488,amo
489,roba
490,agente
491,dietro
492,corpo
493,pare
494,sentire
495,foto
496,telefono
497,voleva
498,poco
499,prendi
500,piccola
501,vicino
502,quest'
503,sacco
504,stia
505,capire
506,potuto
507,cinque
508,strano
509,tue
510,andando
511,donne
512,sappiamo
513,bravo
514,ragazze
515,festa
516,senso
517,genere
518,quattro
519,dare
520,attimo
521,sorella
522,pure
523,probabilmente
524,film
525,parla
526,ufficio
527,verso
528,mesi
529,farti
530,unica
531,morire
532,signorina
533,vecchio
534,domanda
535,ben
536,guerra
537,dottore
538,conosco
539,qual
540,vivere
541,vista
542,prova
543,nuova
544,ricordo
545,divertente
546,avessi
547,sicura
548,paio
549,conto
550,perdere
551,dimmi
552,farmi
553,figli
554,mezzo
555,lavorare
556,unico
557,esattamente
558,squadra
559,esatto
560,possono
561,fate
562,faro
563,sapete
564,dottor
565,parola
566,piedi
567,sopra
568,motivo
569,avevi
570,cavolo
571,capitano
572,finita
573,volete
574,siano
575,potresti
576,gioco
577,perfetto
578,be
579,mente
580,mangiare
581,resto
582,credere
583,fortuna
584,tratta
585,chiamo
586,morta
587,lÃ
588,entrambi
589,avresti
590,passare
591,cena
592,the
593,sarei
594,controllo
595,affari
596,spiace
597,ultimo
598,facile
599,farÃ²
600,buongiorno
601,davanti
602,tizio
603,dammi
604,sicurezza
605,dalle
606,quanti
607,dica
608,matrimonio
609,john
610,vogliono
611,molti
612,culo
613,fuoco
614,cercare
615,pistola
616,potremmo
617,re
618,mandato
619,puttana
620,negli
621,cioe
622,inizio
623,saranno
624,causa
625,voglia
626,mettere
627,fammi
628,uccidere
629,vogliamo
630,faremo
631,perÃ²
632,genitori
633,sesso
634,potete
635,ricevuto
636,vivo
637,presidente
638,cittÃ
639,citta
640,succedendo
641,ospedale
642,fu
643,agli
644,scritto
645,smettila
646,vada
647,attenzione
648,sulle
649,bere
650,situazione
651,omicidio
652,revisione
653,avesse
654,ottimo
655,cura
656,durante
657,provato
658,parole
659,lasciare
660,dicono
661,new
662,prossima
663,nostre
664,arrivato
665,paese
666,sull'
667,andate
668,chiunque
669,capisci
670,pace
671,immagino
672,musica
673,tieni
674,oddio
675,jack
676,libro
677,eravamo
678,amica
679,diventare
680,sui
681,sbagliato
682,dirmi
683,wow
684,farai
685,entra
686,venuta
687,scelta
688,voluto
689,portare
690,assolutamente
691,molte
692,chiedo
693,torna
694,scoperto
695,fatti
696,settimane
697,dirlo
698,alcuni
699,prigione
700,giornata
701,piuttosto
702,buono
703,aspettare
704,parli
705,arrivare
706,lungo
707,vede
708,avvocato
709,deciso
710,sarai
711,messaggio
712,dormire
713,dieci
714,stupido
715,usare
716,dello
717,cielo
718,guardare
719,bagno
720,aria
721,voce
722,tornato
723,vuol
724,giÃ¹
725,conosci
726,benissimo
727,prendo
728,verita
729,cane
730,restare
731,chiamare
732,poter
733,campo
734,luce
735,sam
736,qualunque
737,giovane
738,signori
739,fra
740,provare
741,minuto
742,saperlo
743,lontano
744,gruppo
745,continua
746,arrivo
747,gran
748,realta
749,cerca
750,passo
751,domande
752,insomma
753,bambina
754,pensando
755,capelli
756,trova
757,onore
758,aiutare
759,veritÃ
760,prove
761,n'
762,funziona
763,alto
764,giu
765,credevo
766,futuro
767,preoccuparti
768,idiota
769,cibo
770,fretta
771,cara
772,finalmente
773,morti
774,odio
775,solito
776,brava
777,Ã©
778,incidente
779,allo
780,dev'
781,intenzione
782,speciale
783,cambiare
784,vera
785,camera
786,oltre
787,semplice
788,dirti
789,riguardo
790,finche
791,aspetto
792,viaggio
793,chiaro
794,chiamata
795,bocca
796,permesso
797,piacerebbe
798,dovete
799,giocare
800,ordine
801,circa
802,ovviamente
803,finire
804,piu'
805,natale
806,i'
807,direi
808,vostri
809,occhio
810,pronta
811,scusami
812,mattina
813,cercato
814,crede
815,sistema
816,york
817,fondo
818,resta
819,devono
820,prossimo
821,pronti
822,saputo
823,scusate
824,potere
825,milioni
826,soltanto
827,armi
828,arriva
829,fermo
830,mese
831,chiedere
832,cristo
833,torno
834,venite
835,controllare
836,appuntamento
837,s
838,chiami
839,vecchia
840,detective
841,pero
842,metti
843,grado
844,vanno
845,nave
846,iniziato
847,perche'
848,informazioni
849,libero
850,stronzo
851,grandi
852,pezzo
853,segreto
854,colpo
855,faceva
856,piacciono
857,porto
858,oppure
859,completamente
860,vederti
861,lista
862,venga
863,veloce
864,assassino
865,sapeva
866,finchÃ©
867,tom
868,ormai
869,interessa
870,generale
871,giusta
872,tenere
873,pazzo
874,vittima
875,giuro
876,consiglio
877,michael
878,alcune
879,semplicemente
880,zio
881,centro
882,specie
883,mille
884,sogno
885,lasci
886,carino
887,doveva
888,brutto
889,nello
890,aspetti
891,incredibile
892,sole
893,glielo
894,legge
895,spesso
896,guardate
897,cambiato
898,scena
899,volevi
900,charlie
901,lasciami
902,gentile
903,rispetto
904,ve
905,fara
906,zitto
907,incontro
908,farÃ
909,servono
910,rapporto
911,errore
912,mike
913,sanno
914,pagare
915,sorpresa
916,occhiata
917,risposta
918,presa
919,servizio
920,medico
921,usato
922,hey
923,caro
924,schifo
925,avrai
926,dolore
927,saresti
928,personale
929,quali
930,saro
931,peggio
932,addio
933,addosso
934,dovevo
935,poteva
936,pieno
937,diverso
938,vestiti
939,sparato
940,realtÃ
941,do
942,sarÃ²
943,normale
944,fame
945,programma
946,nonna
947,sappia
948,sembrava
949,migliori
950,notizie
951,avevamo
952,riesci
953,posizione
954,vengo
955,rimanere
956,compagnia
957,proposito
958,farci
959,joe
960,ricorda
961,frank
962,prende
963,tante
964,avevano
965,arrivando
966,chiuso
967,terribile
968,ritardo
969,attento
970,bar
971,sembri
972,fallo
973,dimenticato
974,bisogna
975,impossibile
976,cioÃ¨
977,studio
978,stessi
979,arma
980,conosce
981,uscita
982,ii
983,fin
984,disse
985,david
986,vattene
987,quante
988,guai
989,intorno
990,video
991,manca
992,esserci
993,grosso
994,tanti
995,dolce
996,chiave
997,cervello
998,coraggio
999,interessante
