,german,english
0,ich,I
1,sie,she
2,das,that
3,ist,is
4,du,you
5,nicht,not
6,die,the
7,es,it
8,und,and
9,der,the
10,wir,weather
11,was,What
12,er,he
13,ein,one
14,in,in
15,ja,Yes
16,mir,me
17,mit,With
18,wie,how
19,auf,on
20,dass,that
21,aber,but
22,eine,one
23,so,so
24,hat,has
25,hier,here
26,haben,to have
27,fÃ¼r,for
28,sind,are
29,war,was
30,von,from
31,wenn,if
32,dich,you
33,ihr,her
34,nein,no
35,habe,have
36,an,on
37,bin,am
38,noch,still
39,nur,only
40,da,there
41,dir,to you
42,sich,himself
43,einen,a
44,uns,US
45,hast,have
46,dem,to the
47,kann,can
48,gut,Well
49,auch,also
50,schon,beautiful
51,als,as
52,sein,being
53,jetzt,now
54,ihn,him
55,dann,then
56,aus,out
57,meine,my
58,um,around
59,im,in the
60,wird,will
61,mein,my
62,bist,are you
63,doch,indeed
64,alles,everything
65,weiÃŸ,white
66,keine,none
67,oder,or
68,nach,after
69,s,s
70,nichts,Nothing
71,man,one
72,muss,got to
73,werden,will
74,will,want
75,ihnen,you
76,geht,goes
77,wo,Where
78,etwas,something
79,oh,Oh
80,mehr,more
81,bei,at
82,also,so
83,bitte,You're welcome
84,immer,always
85,hab,have
86,warum,why
87,vor,before
88,los,Come on
89,kÃ¶nnen,be
90,wieder,again
91,sagen,to say
92,machen,do
93,danke,thank you
94,sehr,very
95,alle,Everyone
96,denn,then
97,mann,husband
98,tun,to do
99,ihm,him
100,zum,to the
101,gehen,walk
102,sehen,see
103,vielleicht,perhaps
104,einem,a
105,wer,who
106,ihre,their
107,diese,this
108,euch,you
109,einer,a
110,komm,come
111,Ã¼ber,Over
112,gibt,are
113,okay,OK
114,wissen,to know
115,deine,your
116,mÃ¼ssen,have to
117,soll,target
118,werde,become
119,nie,never
120,hey,hey
121,kein,no
122,viel,a lot
123,weg,path
124,wÃ¼rde,saddle
125,tut,does
126,am,at the
127,des,of
128,einfach,simple
129,leben,Life
130,hatte,had
131,zeit,time
132,weil,because
133,willst,want
134,kommen,come
135,dein,your
136,heute,today
137,kommt,comes
138,wollen,want
139,damit,in order to
140,ganz,all
141,wÃ¤re,be
142,wollte,wanted
143,weiÃŸt,knives
144,ok,OK
145,sicher,secure
146,gesagt,said
147,frau,Mrs
148,nun,well
149,bis,until
150,wurde,would
151,leid,suffering
152,na,n / A
153,kannst,can
154,macht,power
155,dieser,this
156,lassen,leave
157,hallo,Hi
158,meinen,think
159,gott,God
160,seine,his
161,hÃ¤tte,had
162,zwei,two
163,kÃ¶nnte,might
164,genau,I agree
165,waren,was
166,zur,to the
167,lass,let
168,klar,clear
169,morgen,tomorrow
170,leute,People
171,vater,father
172,schÃ¶n,beauty
173,glaube,faith
174,mr.,mr.
175,ab,away
176,gerade,just
177,tag,Day
178,gesehen,seen
179,reden,talk
180,wohl,well
181,liebe,love
182,sollte,should
183,sagte,said
184,unsere,our
185,jemand,someone
186,geld,money
187,durch,through
188,ob,if
189,keinen,none
190,mutter,mother
191,gemacht,did
192,paar,pair
193,mach,make up
194,passiert,happens
195,dachte,thought
196,besser,better
197,musst,must
198,wieso,how so
199,sir,sir
200,dieses,this
201,selbst,self
202,gehÃ¶rt,belonging
203,mÃ¶chte,want
204,ohne,without
205,hÃ¶r,pit
206,her,on
207,sag,say
208,meiner,mine
209,anderen,others
210,helfen,help
211,nacht,night
212,finden,Find
213,diesen,this
214,gute,quality
215,wirst,become
216,lange,Long
217,natÃ¼rlich,coursey
218,ach,Oh
219,meinem,my
220,gar,at all
221,ins,into the
222,sei,may be
223,dort,there
224,geben,give
225,seit,since
226,gleich,same
227,sagt,says
228,recht,law
229,ihren,your
230,richtig,correct
231,ordnung,order
232,vom,from the
233,hÃ¶ren,hear
234,sieht,sees
235,davon,of that
236,dafÃ¼r,for that
237,geh,go
238,diesem,This
239,wegen,because
240,hause,home
241,sollten,should
242,mÃ¤dchen,girl
243,hin,there
244,sollen,should
245,abend,Eve
246,haus,House
247,denke,think
248,viele,lots
249,drei,three
250,deinen,yours
251,freund,friend
252,guten,good
253,unser,our
254,warte,wait
255,machst,make
256,menschen,People
257,essen,meal
258,angst,fear
259,bleiben,remain
260,zusammen,together
261,welt,world
262,unter,under
263,habt,have
264,schnell,fast
265,andere,other
266,tot,dead
267,getan,did
268,darf,may
269,erst,first
270,rein,pure
271,nehmen,to take
272,kinder,children
273,eines,one
274,glauben,believe
275,bringen,bring
276,ganze,whole
277,genug,enough
278,scheiÃŸe,shit
279,brauchen,to need
280,moment,moment
281,junge,Boy
282,sonst,otherwise
283,musik,music
284,arbeit,work
285,seid,are
286,ihrer,of their
287,fragen,questions
288,herr,Mister
289,dabei,included
290,heiÃŸt,hopeful
291,familie,family
292,warten,wait
293,niemand,nobody
294,sofort,immediately
295,bevor,before
296,jahre,years
297,einmal,once
298,problem,problem
299,wann,when
300,brauche,need
301,fertig,done
302,halt,stop
303,allein,alone
304,beim,at the
305,sprechen,to speak
306,beide,both
307,gefunden,found
308,hatten,had
309,sache,matter
310,hilfe,help
311,verdammt,Damn it
312,ne,ne
313,jeder,everyone
314,warst,wicked
315,gern,gladly
316,konnte,could
317,darÃ¼ber,about it
318,halten,keep
319,verstehe,understand
320,jahren,Years
321,kam,came
322,kind,child
323,wusste,knew
324,wahr,true
325,seinen,his
326,dazu,to
327,bruder,brothers
328,daran,to it
329,ihrem,Yours
330,denken,think
331,kÃ¶nnten,could
332,dank,thanks to
333,wÃ¼rden,be
334,lieber,rather
335,fall,case
336,deiner,yours
337,sehe,see
338,egal,no matter
339,kennen,know
340,vergessen,forget
341,frage,ask
342,mache,make
343,komme,come
344,sage,legend
345,mag,like
346,sieh,look
347,echt,real
348,gib,give
349,eigentlich,actually
350,jeden,every
351,dad,dad
352,gab,gave
353,stadt,city
354,mÃ¤nner,man
355,baby,infant
356,namen,name
357,bekommen,to get
358,kopf,head
359,hi,Hi
360,gehe,go
361,kleine,small
362,spÃ¤ter,later
363,glÃ¼ck,luck
364,letzte,last
365,freunde,friends
366,n,n
367,all,Alles
368,darauf,thereon
369,ende,end
370,dr.,Dr.
371,bald,soon
372,tÃ¶ten,kill
373,dinge,things
374,meinst,mean
375,toll,Great
376,eins,one
377,minuten,minute
378,vielen,many
379,bereit,ready
380,weit,far
381,ahnung,idea
382,seiner,his
383,bisschen,little
384,tÃ¼r,tower
385,jungs,guys
386,eure,your
387,augen,eyes
388,polizei,police
389,stehen,stand
390,sterben,to die
391,hÃ¤tten,exist
392,drauÃŸen,out
393,kenne,know
394,fast,nearly
395,runter,down
396,vorbei,past
397,treffen,meeting
398,gerne,gladly
399,dran,your turn
400,wurden,became
401,arbeiten,work
402,mom,Mom
403,verrÃ¼ckt,crazy
404,neue,new
405,ging,went
406,hinter,Behind
407,sorgen,"ensure, to care"
408,einzige,only
409,jemanden,someone
410,darum,therefore
411,tochter,daughter
412,braucht,needs
413,idee,idea
414,schwester,sister
415,drin,in it
416,ruhig,quiet
417,ganzen,entire
418,spÃ¤t,late
419,ziemlich,pretty much
420,solltest,ward
421,name,Surname
422,sogar,even
423,kurz,short
424,kerl,Guy
425,frauen,women
426,liegt,located
427,suchen,search
428,finde,find
429,je,ever
430,woher,where from
431,lang,long
432,job,job
433,keiner,none
434,seinem,his
435,hÃ¶rt,hard
436,verstehen,to understand
437,spielen,play
438,s.,S.
439,Ã¼berhaupt,At all
440,teufel,Devil
441,verstanden,Roger that
442,verloren,lost
443,groÃŸe,big
444,hand,hand
445,grund,ground
446,jahr,year
447,kommst,come
448,mama,mummy
449,ruhe,Quiet
450,gewesen,been
451,tod,death
452,stunden,hours
453,hoffe,hope
454,denkst,think
455,oben,above
456,gestern,yesterday
457,versuchen,to attempt
458,art,kind
459,letzten,last
460,schatz,Darling
461,he,head
462,etwa,about
463,erzÃ¤hlt,obvious
464,lÃ¤uft,run
465,schwer,heavy
466,anders,different
467,miss,miss
468,musste,had to
469,fÃ¼nf,fifty
470,wasser,water
471,lÃ¤sst,lash
472,erste,first
473,versucht,tries
474,gekommen,came
475,geschichte,story
476,wenig,little
477,holen,fetch
478,bedeutet,means
479,nett,kind
480,wahrheit,truth
481,woche,week
482,bringt,brings
483,deshalb,for this reason
484,welche,Which
485,bestimmt,definitely
486,hoch,high
487,alter,old
488,sagst,tell
489,schau,show
490,ah,Ah
491,land,country
492,zimmer,room
493,wagen,car
494,vier,four
495,gefallen,please
496,niemals,No way
497,schuld,blame
498,getÃ¶tet,undressed
499,wollten,wanted to
500,verlassen,leaving
501,zeigen,show
502,beste,best
503,unserer,our
504,denen,to them
505,ort,location
506,bleibt,remains
507,wÃ¼rdest,wholesale
508,manchmal,sometimes
509,glaubst,believe
510,seite,page
511,lasst,leaves
512,zwischen,between
513,eben,even
514,wÃ¤hrend,while
515,spiel,game
516,nehme,take
517,ersten,first
518,guter,goods
519,chance,chance
520,freundin,friend
521,krieg,war
522,gefÃ¤llt,fell
523,kleinen,small
524,erzÃ¤hlen,tell
525,anderes,other
526,tage,day
527,entschuldigen,apologize
528,wichtig,important
529,gehst,go
530,bett,bed
531,mrs.,MRS.
532,sachen,things
533,the,the
534,schlecht,bad
535,schule,school
536,wort,word
537,john,John
538,hÃ¤ttest,hat
539,schlafen,sleep
540,Ã¤h,Äh
541,tu,tu
542,euer,your
543,captain,captain
544,gesicht,face
545,falls,if
546,neuen,new
547,bloÃŸ,blossom
548,teil,part
549,beiden,both
550,mensch,human
551,kleiner,smaller
552,stellen,put
553,oft,often
554,sorge,worries
555,gedacht,thought
556,tust,tu
557,trinken,drink
558,einige,some
559,dies,this
560,ding,thing
561,unseren,Our
562,kriegen,Obtain
563,blut,blood
564,ehrlich,honest
565,eltern,parents
566,scheint,seems
567,herz,heart
568,jack,Jack
569,glÃ¼cklich,lucky
570,alte,old
571,alt,old
572,bleib,stay
573,wiedersehen,reunion
574,frei,free
575,wen,whom
576,drauf,on it
577,mÃ¶glich,possibly
578,irgendwie,somehow
579,reicht,suffices
580,fest,fixed
581,besten,best
582,waffe,weapon
583,kaum,barely
584,irgendwas,anything
585,klingt,sound
586,platz,place
587,brauchst,need
588,rede,speech
589,papa,father
590,falsch,not correct
591,sondern,but
592,alten,old
593,nummer,number
594,frÃ¼her,earlier
595,jungen,boys
596,wohin,where
597,auÃŸer,outside
598,frÃ¼h,fright
599,setzen,set
600,zuerst,first
601,wahrscheinlich,probably
602,dÃ¼rfen,dilate
603,jede,every
604,arsch,ass
605,telefon,phone
606,tue,do
607,kennst,know
608,willkommen,welcome
609,plan,plan
610,groÃŸen,tall
611,retten,rescue
612,hierher,here
613,wÃ¤r,wane
614,bring,bring
615,fehler,error
616,wollt,want
617,dollar,dollar
618,zehn,ten
619,allem,all
620,pass,passport
621,nÃ¤chste,next
622,stunde,lesson
623,hÃ¤nde,hand
624,gegeben,given
625,menge,crowd
626,langsam,slow
627,bereits,already
628,wartet,wait
629,sechs,six
630,lieben,love
631,meines,mine
632,nÃ¤chsten,next
633,gebe,giving
634,wochen,weekly
635,ruf,call
636,schaffen,create
637,leider,Unfortunately
638,scheiÃŸ,shit
639,hÃ¶lle,Hall
640,trotzdem,despite this
641,doktor,doctor
642,tja,well
643,new,New
644,voll,fully
645,film,Movie
646,Ã¼berall,Overall
647,hund,dog
648,geworden,become
649,direkt,direct
650,wolltest,wanted
651,tat,did
652,denkt,thinks
653,schiff,ship
654,neues,new
655,wem,whom
656,kÃ¶nig,king
657,danach,after that
658,funktioniert,is working
659,hattest,had
660,lernen,to learn
661,deswegen,because of this
662,wow,Wow
663,nennen,to name
664,hm,Hm
665,feuer,Fire
666,laufen,to run
667,erinnern,remember
668,vÃ¶llig,full
669,kleines,small
670,kÃ¶nnt,cannotted
671,stelle,Job
672,kumpel,Dude
673,verlieren,lose
674,probleme,problems
675,spricht,speaks
676,kaffee,coffee
677,luft,air
678,fand,found
679,entschuldige,Excuse me
680,ziehen,draw
681,verschwinden,disappear
682,kÃ¶nntest,mighty
683,seht,look
684,aufhÃ¶ren,break down
685,eigenen,own
686,richtige,right one
687,unserem,ours
688,suche,seek
689,groÃŸ,tall
690,hol,hold
691,buch,a book
692,krank,ill
693,fÃ¼hle,feel
694,jedes,each
695,verstehst,understand
696,wert,worth
697,arzt,doctor
698,froh,joyful
699,versuche,tries
700,straÃŸe,street
701,rufen,call
702,heiraten,marry
703,super,great
704,sam,sam
705,lebt,lives
706,gutes,good
707,lasse,laser
708,onkel,uncle
709,total,total
710,gebracht,brought
711,party,party
712,erklÃ¤ren,explain
713,spielt,play
714,wahl,choice
715,vertrauen,trust
716,damals,back then
717,tagen,days
718,leicht,easy
719,gegangen,went
720,gefÃ¼hl,feel
721,geschafft,made
722,typen,types
723,interessiert,Interested
724,mÃ¶chten,want
725,halte,hold
726,glaub,belie
727,irgendwo,somewhere
728,stÃ¼ck,pile
729,genauso,just like that
730,kennt,knows
731,genommen,taken
732,zukunft,future
733,weniger,fewer
734,cool,cool
735,licht,light
736,getroffen,met
737,himmel,heaven
738,nachricht,news
739,drÃ¼ben,put on
740,passt,fits
741,sagten,told
742,kÃ¼mmern,take care
743,laut,according to
744,vergiss,forget
745,angerufen,called
746,sitzen,sit
747,daÃŸ,that
748,erde,Earth
749,groÃŸer,greater
750,schlÃ¼ssel,clumsy
751,rest,rest
752,passieren,happen
753,eher,rather
754,gefragt,asked
755,gefÃ¤ngnis,fence
756,opfer,victim
757,kÃ¶rper,bark
758,solche,such
759,mist,damn
760,mr,mr
761,findet,find
762,schreiben,to write
763,bÃ¶se,base
764,gesprochen,spoken
765,versuch,attempt
766,vorstellen,introduce
767,wovon,About what
768,sobald,as soon
769,herren,Men's
770,sex,sex
771,waffen,weapons
772,wohnung,apartment
773,weh,sore
774,heiÃŸen,hot
775,krankenhaus,hospital
776,bringe,bring
777,hÃ¶re,shot
778,millionen,millions
779,klasse,class
780,hart,hard
781,worden,has been
782,auÃŸerdem,besides
783,verletzt,injured
784,Ã¤ndern,Change
785,erfahren,Experienced
786,tragen,carry
787,wenigstens,at least
788,vorsichtig,carefully
789,daddy,daddy
790,stolz,proudly
791,stark,strong
792,fÃ¤llt,fall
793,mÃ¶chtest,man
794,leuten,people
795,besonders,especially
796,schÃ¶ne,beautiful
797,schicken,send
798,person,person
799,schÃ¤tze,shaft
800,solange,so long
801,lÃ¤nger,lural
802,lacht,laugh
803,anrufen,call up
804,stand,was standing
805,redest,talk
806,fÃ¼hlen,feel
807,erwartet,expected
808,boss,boss
809,stimme,voice
810,glaubt,believe
811,still,quiet
812,sicherheit,safety
813,ma,ma
814,mund,mouth
815,kÃ¤mpfen,fight
816,wisst,scoff
817,lachen,laugh
818,hÃ¶rst,hurry
819,zeug,things
820,lustig,fun
821,umbringen,kill
822,sollst,shorter
823,hasse,hate
824,schlimm,terrible
825,o,O
826,unglaublich,unbelievable
827,wÃ¤rst,might
828,laden,load
829,gestorben,died
830,schauen,look
831,meinung,opinion
832,lesen,read
833,mÃ¶rder,marten
834,frank,frank
835,Ã¤hm,Ohm
836,geschehen,happen
837,geschÃ¤ft,business
838,verzeihung,forgiveness
839,fliegen,to fly
840,zeig,show
841,team,team
842,mike,mike
843,york,York
844,vorher,before
845,schluss,Enough
846,schneller,more quickly
847,liebt,loving
848,verdient,deserved
849,mÃ¶gen,stomach
850,meisten,most
851,denk,think
852,umgebracht,killed
853,perfekt,Perfect
854,versprochen,promised
855,handy,mobile
856,hinten,rear
857,monate,months
858,erinnere,recall
859,acht,eight
860,arbeitet,is working
861,fallen,fall
862,rufe,call
863,nÃ¶tig,necessary
864,a,a
865,mord,murder
866,heraus,out
867,tages,day
868,unmÃ¶glich,impossible
869,liebling,Darling
870,charlie,Charlie
871,tatsÃ¤chlich,actual
872,folgen,Follow
873,bitten,request
874,behalten,to keep
875,nÃ¤he,close
876,arbeite,work
877,joe,joe
878,verdammte,damn
879,plÃ¶tzlich,suddenly
880,lebens,life
881,hole,go
882,michael,Michael
883,hÃ¶rte,hardness
884,jemals,ever
885,liegen,lie
886,verkaufen,to sell
887,gefÃ¤hrlich,dangerous
888,anfangen,begin
889,bekommt,receives
890,machte,bother
891,ha,Ha
892,hotel,hotel
893,hilft,help
894,werdet,become
895,meister,master
896,kampf,battle
897,antwort,reply
898,konnten,could
899,geschickt,sent
900,jedem,each
901,obwohl,although
902,sieben,seven
903,komisch,Strange
904,gewinnen,to win
905,ihres,Yours
906,bezahlt,paid
907,you,you
908,voller,full of
909,unterwegs,On the way
910,dumm,stupid
911,Ã¤rger,Ärger
912,bild,image
913,george,George
914,neu,New
915,bezahlen,pay
916,dagegen,on the other hand
917,seien,be
918,starb,died
919,tom,Tom
920,monaten,monthly
921,leiche,corpse
922,niemanden,no one
923,auge,eye
924,arschloch,asshole
925,verheiratet,married
926,peter,Peter
927,zieh,pull
928,nimmt,takes
929,gerettet,saved
930,agent,agent
931,traum,dream
932,entscheidung,decision
933,schlimmer,worse
934,regeln,rules
935,fenster,window
936,fangen,catch
937,fort,forth
938,stÃ¤ndig,perennial
939,findest,find
940,gefahr,danger
941,absolut,absolutely
942,mary,Mary
943,augenblick,moment
944,bescheid,notice
945,rum,rum
946,gedanken,thoughts
947,werd,be
948,ziel,aim
949,benutzt,used
950,bewegung,Move
951,jemandem,someone
952,wÃ¼nschte,wished
953,worte,words
954,kamen,came
955,welcher,which one
